delta,theta,alpha,beta,label,subject_id
1.767114039761789e-10,1.1624151013996658e-11,2.736843192391174e-12,1.4166302140485157e-12,Wake,7011
2.2181234577465697e-11,5.318935728719803e-12,1.4453733583988846e-12,6.212475060273264e-13,N1,7011
2.1880705496108422e-11,5.701983104085858e-12,1.575818245483194e-12,8.325266034804218e-13,N2,7011
1.261095143209661e-10,1.1719197137817115e-11,1.815144886158667e-12,7.351091483713914e-13,N3,7011
7.299455496193437e-11,6.731553035151999e-12,2.3512474022488927e-12,1.0539449627129153e-12,N2,7011
1.028253484195276e-10,6.547157553442634e-12,2.0872261540006126e-12,1.173777997512479e-12,N3,7011
7.445278083929319e-11,5.127952725161301e-12,1.5286509984995373e-12,6.413454674955238e-13,N2,7011
1.0419629468252329e-10,4.980288704090002e-12,2.0174930734169894e-12,7.355387198170645e-13,N3,7011
3.6359912174361187e-11,4.90895087563659e-12,2.5533492142278476e-12,8.607922101534297e-13,N2,7011
8.829847713362869e-11,1.1641720181014026e-11,3.142400443955813e-12,8.703767709283905e-13,N3,7011
3.684164008309383e-11,5.123972750607715e-12,3.067754191711423e-12,6.158355375450186e-13,N2,7011
8.080395897306339e-11,6.3116365040563e-12,2.133157218889535e-12,8.199159481765389e-13,N3,7011
7.146036393635708e-11,6.564953327893712e-12,2.499270752945127e-12,5.846120102467045e-13,N2,7011
1.8776865443439492e-11,2.664744289571494e-12,2.4029351499249676e-12,1.235527511959809e-12,N1,7011
2.599272546200859e-11,8.384642430210588e-12,2.792409778361789e-12,8.044885521796393e-13,N2,7011
6.78716452658938e-11,5.609273949703545e-12,2.9333851882305474e-12,6.08808314736473e-13,N3,7011
3.0697378056171625e-11,6.375489062348189e-12,2.1814575496133412e-12,6.863222654258065e-13,N2,7011
8.545985195471458e-11,5.121201414111404e-12,2.1793018453275936e-12,5.377410117875377e-13,N3,7011
3.845072007690688e-11,5.676782644312926e-12,2.4630569526029937e-12,6.115693781904034e-13,N2,7011
1.0015334878202215e-10,5.0847277220777145e-12,1.693741234932816e-12,6.460109630164546e-13,N3,7011
6.974996661926925e-11,5.636509321475341e-12,2.4057902948953394e-12,1.1421286114319468e-12,N2,7011
1.0843570208530731e-10,6.3353375406478566e-12,2.7902894662457274e-12,9.041576409696145e-13,N3,7011
1.955911856385583e-10,1.1398396592568334e-11,5.795814760437913e-12,3.2894529768992232e-12,N1,7011
1.2620231256197493e-11,4.240018004904381e-12,1.7518255282688106e-12,7.139168828474528e-13,N2,7011
8.313704818985042e-11,4.061764906310991e-12,3.4515354492447957e-12,1.3731732640217607e-12,N1,7011
1.174912856412177e-10,5.11498579820117e-12,2.3683717402925724e-12,7.583719514586051e-13,N2,7011
6.425411238919669e-11,6.3871600176885696e-12,2.94011589466311e-12,7.802021419341801e-13,N3,7011
7.429337894175674e-11,8.739440921962812e-12,2.2953866457626284e-12,1.0143860479058669e-12,N2,7011
8.680562716515748e-11,6.25245338469819e-12,2.016053778426558e-12,7.294490859034231e-13,N3,7011
1.0332007281448216e-10,6.40772268118511e-12,2.6190491833711665e-12,6.721715367442099e-13,N2,7011
7.018014914672152e-11,8.237751093076328e-12,3.0366352498849043e-12,6.213100677064008e-13,N3,7011
2.6090501524786447e-11,1.053539939306737e-11,3.44528406153447e-12,5.713519279126523e-13,N2,7011
1.9972141627398204e-11,2.410843619224085e-12,1.566146233540952e-12,3.0142484373493143e-13,REM,7011
1.6457881789512347e-10,4.92472805478877e-12,3.644988718659188e-12,9.564023525272302e-13,Wake,7011
6.276223306628904e-12,1.142726012934056e-12,1.42387836353493e-12,3.799921336923171e-13,N1,7011
2.6385936615818523e-11,1.3002513972445328e-12,1.4856510016592536e-12,5.569667414840896e-13,Wake,7011
2.258006055892203e-11,3.7880955332549045e-12,1.6653241422055167e-12,6.657071059054653e-13,N1,7011
1.544011070890498e-11,2.4568566294379534e-12,1.9176508518509238e-12,5.195398527461445e-13,Wake,7011
3.317901344207108e-12,4.606507833423103e-12,1.364304778202724e-12,5.847846207573384e-13,N1,7011
1.0960872126286964e-10,1.0670094251966549e-11,1.8612579651928705e-12,6.623202898700627e-13,N2,7011
6.165273152876773e-11,4.519216050398788e-12,3.126117025746821e-12,5.65301828705969e-13,N3,7011
8.452474175858844e-11,6.226790447948451e-12,3.363022891486762e-12,1.0453523903276407e-12,N2,7011
6.303913155391795e-11,5.6247315808949246e-12,2.174230684859058e-12,7.991849276258346e-13,N3,7011
7.377660943497525e-11,7.126897390397068e-12,2.986561752094895e-12,6.233517014851041e-13,N2,7011
5.6332279131065693e-11,6.450745187990646e-12,2.412340162670973e-12,6.171087935773049e-13,N3,7011
9.904835996184447e-11,6.719937655201756e-12,2.0198914268282915e-12,6.283156401411761e-13,N2,7011
6.044456282404517e-10,8.499406199281947e-12,3.137313017177185e-12,2.2359102978543344e-12,N1,7011
4.640647552380391e-11,4.520664735914116e-12,1.7708820631015673e-12,6.168458336290587e-13,N2,7011
8.21459223644643e-11,1.0596334394966244e-11,2.381187483611105e-12,7.058785631276296e-13,N3,7011
3.165956184847142e-11,3.5511863188903182e-12,1.4995411393921938e-12,4.574006770496616e-13,N2,7011
8.384633566990143e-11,5.4004123567802235e-12,1.4808651341830424e-12,8.692465093714283e-13,N3,7011
5.526970094870841e-11,5.7942799568076655e-12,1.9082753159222184e-12,6.346482717750606e-13,N2,7011
1.3481317518237453e-10,1.0108637024978781e-11,1.9740076649049265e-12,5.315861835703573e-13,N3,7011
1.7259311044385966e-10,9.393794993579047e-12,2.4981422171781843e-12,9.774189055862424e-13,N3,7011
1.726192433723915e-10,9.707250091934484e-12,1.6903855788804354e-12,3.1769846781350803e-13,N3,7011
1.4831284544904715e-10,9.796079788517289e-12,2.8525252725858866e-12,9.426969726853979e-13,N3,7011
1.2421221996066727e-10,6.406904645916493e-12,3.536152798987253e-12,5.505984708198658e-13,N3,7011
1.1356632390146489e-10,8.21963452325571e-12,2.1303564338313706e-12,4.869844811472897e-13,N3,7011
8.429808214938957e-11,1.1938901431009239e-11,3.114612533869736e-12,4.2718938605466124e-13,N3,7011
4.505676586626212e-11,9.581495993340865e-12,2.7159600396856564e-12,4.375509565940636e-13,N2,7011
4.636582389863352e-11,5.224270881620408e-12,2.8812448881683752e-12,3.790803368706666e-13,REM,7011
1.4117167202018327e-11,1.0151271558345253e-11,5.885770560958782e-12,7.457742868929777e-13,Wake,7011
3.840358164375231e-11,6.510932085327407e-12,1.6482396055150387e-12,4.680016597840263e-13,N1,7011
6.345924914749705e-11,1.13051031421162e-11,2.721705784639758e-12,4.692969531275136e-13,N2,7011
4.338699122319333e-11,5.863498568106771e-12,1.4931388315695706e-12,3.0267959346034163e-13,REM,7011
1.3188920909094099e-11,2.486075936606423e-12,2.215619985362743e-12,1.0189797173925633e-12,N1,7011
4.1004646593747614e-11,1.4124819923811495e-11,2.410051736400579e-12,6.361563351434339e-13,N2,7011
1.4588685243809328e-10,5.686858883858062e-12,2.7629541344966732e-12,2.125303724359375e-12,Wake,7011
4.277928116892632e-12,8.133781552531143e-12,1.3007996046396127e-12,6.172260544200776e-13,N1,7011
9.018121389522108e-11,1.1374481835245808e-11,2.2615507821080157e-12,6.656170786985148e-13,N2,7011
2.260767020058716e-11,1.7005425353091091e-12,1.2532847136795438e-12,3.673227612023441e-13,N1,7011
3.343721623195324e-11,1.4779591503784383e-11,1.2859566740573528e-12,6.850550665791567e-13,N2,7011
8.111399063179963e-11,6.0427748767302996e-12,2.487928167335062e-12,7.097813358722496e-13,N3,7011
4.6437832389977776e-11,3.71683781696824e-12,1.6740050627078106e-12,7.213344296978496e-13,N2,7011
9.167503063951251e-11,6.47513921821433e-12,1.5334782539713889e-12,6.003261221325499e-13,N3,7011
5.71615932735029e-11,5.058705319660025e-12,2.26112143261093e-12,8.214801717740857e-13,N2,7011
7.09369968555767e-11,7.583399199999109e-12,2.9309738852104766e-12,1.2541651461604707e-12,N3,7011
3.5188299635556925e-11,4.13409341699129e-12,2.5958617400104673e-12,9.36875245870898e-13,N2,7011
4.30236953303787e-11,4.584112486376812e-12,3.019266169429669e-12,7.266503840244231e-13,N3,7011
7.448200686254875e-11,8.034930106158687e-12,2.8603451093091807e-12,7.789639101178325e-13,N2,7011
6.148813404138381e-11,4.911622319310296e-12,2.0565479169632147e-12,6.933559143411244e-13,N3,7011
1.0098139251355367e-10,5.187828332011578e-12,2.2502754761330712e-12,7.046381023352345e-13,N2,7011
1.490799366051208e-10,9.6127321156907e-12,2.249718577981102e-12,6.582170572195763e-13,N3,7011
1.178888648970336e-10,6.687451060118412e-12,2.160361498415026e-12,1.2616938163916758e-12,N2,7011
9.082056353816793e-12,6.324662841859606e-12,1.6107148893382222e-12,6.955019667327671e-13,N1,7011
2.201941508484824e-11,4.581460650944875e-12,1.5114140270416623e-12,5.274451764333749e-13,Wake,7011
1.1209076676334026e-11,5.1520913980533566e-12,1.1290499039995623e-12,4.761687105934727e-13,N1,7011
3.3232431245639334e-11,1.405738687402104e-12,1.3283613747807836e-12,4.5182720338135435e-13,Wake,7011
2.246024638029163e-11,2.65666514620823e-12,1.483795995796873e-12,4.3698228690809747e-13,N1,7011
9.439706340920294e-11,8.533402747084298e-12,1.504824804890631e-12,6.280931861954863e-13,N2,7011
1.4599421783695914e-11,1.786759637479582e-12,1.2516298048261726e-12,6.963487914478838e-13,Wake,7011
1.0069162252789494e-11,3.3787161821044396e-12,1.8013019242207544e-12,4.2857311093106157e-13,N1,7011
2.967414918081235e-11,3.630990475198704e-12,1.9303394463117286e-12,5.672258490208028e-13,N2,7011
1.2277524987851594e-10,6.4187504249984496e-12,2.4008811490573574e-12,7.159442470528798e-13,N3,7011
9.341895885650846e-11,4.668462162520462e-12,1.9631328467338163e-12,5.259717179744894e-13,N2,7011
7.648714240666322e-11,4.961949870033396e-12,2.794279428791756e-12,1.0099198859471475e-12,N3,7011
7.512587702090052e-11,4.3746783308335284e-12,1.835590389646268e-12,7.562921592960266e-13,N2,7011
1.911031655902552e-09,1.193954813105729e-10,9.423368328301491e-12,1.189623430551329e-12,Wake,7011
5.121522877821081e-12,4.524962820026824e-12,2.1293893411726978e-12,5.813040107480357e-13,N1,7011
2.568764196986482e-11,2.399922366175906e-12,2.330978688869618e-12,5.966970193896116e-13,Wake,7011
4.383061808813291e-12,6.215580919297525e-12,1.6887007438417634e-12,3.922723809386806e-13,N1,7011
3.0854850663752255e-11,1.2098424080507007e-12,1.1710146364349318e-12,4.298336872074494e-13,Wake,7011
4.270391214056769e-12,1.7622397656904528e-12,1.2465466569721453e-12,4.421823026219759e-13,N1,7011
5.4420949756838365e-11,2.4572810653151994e-12,1.4221305385096988e-12,4.1687269291484536e-13,Wake,7011
4.4401792530197324e-12,2.0947969644894503e-12,1.0276419571988787e-12,4.604862368398539e-13,N1,7011
1.565240280776554e-10,6.354264968428444e-12,1.935353441540429e-12,9.449127790343578e-13,Wake,7011
8.203861516714974e-12,2.3832586461772847e-12,1.504701057135023e-12,5.477712301828148e-13,N1,7011
4.214835238670752e-11,3.662590085379813e-12,1.4095310309250739e-12,6.186386476240415e-13,N2,7011
3.0095939451132813e-12,1.4389815127857696e-12,9.795311780581106e-13,2.9533324418927756e-13,N1,7011
1.1024200450791448e-11,3.982220698405182e-12,1.6894521828643828e-12,6.535899973442907e-13,N2,7011
4.0448445203617126e-10,2.5758123416620336e-11,9.625494068863708e-12,5.684411551154686e-12,Wake,7011
5.905071019421877e-12,5.569078381148894e-12,1.9088756758714786e-12,4.408176223648018e-13,N1,7011
9.037213577014576e-12,7.189686651200171e-12,1.1624790371833588e-12,6.297951741752093e-13,N2,7011
1.2701379977870737e-11,2.0485045276045294e-12,1.0242371089668903e-12,3.366363919148021e-13,N1,7011
7.104482284828086e-11,5.986752704333101e-12,1.9615592540762943e-12,8.954737875766176e-13,N2,7011
1.6430264856855483e-11,1.214660833982488e-11,1.1534574556933615e-12,8.032500522636705e-13,N1,7011
6.895621844212743e-11,6.0945693133785425e-12,1.6104982548422558e-12,7.350704355360128e-13,N2,7011
5.6700082121536437e-11,4.161642240505781e-12,3.4306058747427174e-12,1.2852672501987908e-12,N1,7011
6.876383503187373e-11,3.8090778718420225e-12,1.349398185024328e-12,4.981229100520818e-13,N2,7011
5.174585588799113e-11,2.8238981799354695e-12,2.479368447301763e-12,1.3647674600371184e-12,Wake,7011
1.4070959153531905e-11,1.3957503211803436e-12,1.027421758737449e-12,5.528915941563633e-13,N1,7011
1.5717648600335585e-11,3.0895124416654437e-12,1.2798320913026797e-12,5.887851921842983e-13,N2,7011
7.202630252212365e-11,5.962477376490821e-12,2.17412534880945e-12,5.726500102121697e-13,N3,7011
9.641530265321432e-11,5.49593425920377e-12,2.091408168464402e-12,1.0772959883800767e-12,N2,7011
4.194398068287755e-11,8.651672813277965e-12,2.225991582603126e-12,4.564784748075456e-13,REM,7011
1.9497104387559197e-11,2.553218178637785e-12,1.2092366833773568e-12,4.854105739633865e-13,N1,7011
1.3653117000261871e-11,2.0801463338089077e-12,8.614398336083682e-13,2.119808884010315e-13,REM,7011
1.425343714588366e-11,1.6240405734554322e-12,1.760460609096576e-12,6.327743550943737e-13,Wake,7011
9.026894099470014e-12,1.3855357759066485e-12,8.751601380437951e-13,4.46639977466757e-13,N1,7011
6.808372439402218e-11,4.747215086782213e-12,2.151516009854391e-12,5.80079012620756e-13,N2,7011
3.662114297609616e-11,2.703946806652972e-12,1.5655655412701014e-12,4.241947672778621e-13,REM,7011
1.452976300942182e-11,2.8082626807853775e-12,2.309869711384429e-12,7.435552439327888e-13,Wake,7011
5.985460002276162e-12,1.9642666231478547e-12,2.015177360766916e-12,5.065468369685085e-13,N1,7011
8.711035006482133e-11,2.1070082099545242e-12,1.6227852923184502e-12,6.277820466382196e-13,N2,7011
4.322343944218212e-11,5.745358539069172e-12,1.8094900469338043e-12,6.380651338303058e-13,REM,7011
7.190029743356419e-11,6.480685915343682e-12,2.6584936170992264e-12,6.728344235642183e-13,N1,7011
6.027461893351024e-11,3.525665991221465e-12,2.8580924039954017e-12,3.9813330292416483e-13,N2,7011
5.822799511320166e-11,4.722812068870834e-12,2.033318083974801e-12,5.810288573780903e-13,REM,7011
1.877595334167405e-10,9.270197330238605e-12,4.5574274282577495e-12,1.8225265466180655e-12,N1,7011
1.5461975033128493e-11,2.3174897773208135e-12,1.023067543255813e-12,4.023943649749687e-13,N2,7011
1.879324888315564e-11,2.181661727587517e-12,8.224326800812961e-13,3.0092443541499093e-13,REM,7011
1.7931620517052386e-10,8.271000703356305e-12,4.0501914299575e-12,1.7008206241816494e-12,Wake,7011
1.4390214445024222e-11,1.9388804325047724e-12,9.789650752043754e-13,3.2517679212128536e-13,N1,7011
2.031865950449311e-11,2.6185411635099315e-12,1.5431583456553606e-12,5.795039809816197e-13,N2,7011
1.2781015572464216e-10,5.0404834492314086e-12,1.7477486012144994e-12,5.202158928793258e-13,N3,7011
1.9772458187664228e-10,6.47452046764418e-12,1.6678746661527546e-12,3.3925902204007055e-13,N3,7011
9.967837381347725e-11,5.361895269876131e-12,1.6457653684506565e-12,2.7236041837275097e-13,N3,7011
8.511429807532289e-11,6.746023694574585e-12,1.484867068428114e-12,6.730013438793131e-13,N2,7011
9.218614410710599e-11,6.94839966073973e-12,1.812054749988859e-12,5.364579926764733e-13,N3,7011
1.6548268902541942e-10,8.17606862624191e-12,1.706779449107151e-12,4.750554560447641e-13,N3,7011
1.2063016392021098e-10,6.559261328686245e-12,1.2826920193975693e-12,2.8451673307747307e-13,N3,7011
1.688431689294144e-10,6.781190394423128e-12,2.086648687087086e-12,3.149003259360339e-13,N3,7011
6.814878570832631e-11,5.677340826185305e-12,1.5840963775677197e-12,4.721497145952385e-13,N3,7011
1.3565617762710985e-10,8.864098233699536e-12,2.409064460074203e-12,3.099753639340072e-13,N3,7011
1.5890485666816832e-10,9.167466412933686e-12,2.5432917838227657e-12,4.555853834014419e-13,N3,7011
1.613160740769638e-10,7.379399180335074e-12,2.017128826119902e-12,6.265932286337665e-13,N3,7011
1.2514953025500593e-10,8.167090713563641e-12,1.4215598609970522e-12,3.7982139666603076e-13,N3,7011
9.335868141308076e-11,1.176141853296876e-11,4.905125256565335e-12,1.2981560984644668e-12,N2,7011
2.4367632000476066e-10,7.642653576487458e-12,2.3296532970182257e-12,8.345506265001554e-13,N3,7011
1.413105011107632e-10,1.1477404477654415e-11,2.9915121020542356e-12,1.0102638815849387e-12,N2,7011
1.0787635288087483e-10,7.129600472516083e-12,1.8264275454644214e-12,3.673030782996801e-13,N3,7011
9.385359864244493e-11,6.270831788877477e-12,1.5509545051389235e-12,3.5063862229148627e-13,N2,7011
1.7758697645293284e-10,9.99295634853679e-12,1.8729535295583504e-12,6.146341865228915e-13,N3,7011
9.74906534687816e-11,6.176740941328021e-12,2.7631988087991575e-12,3.3120207791601323e-13,N2,7011
2.1385150179859126e-10,8.877559138931599e-12,2.320253068385218e-12,5.419569784350541e-13,N3,7011
1.4655376623664582e-10,9.470666252139385e-12,2.4733769876357e-12,4.92429914561963e-13,N3,7011
1.3101845232564864e-10,8.37976439715287e-12,1.5871130960741962e-12,3.3513549190517034e-13,N3,7011
1.504656367296921e-10,6.558082953088967e-12,1.4642571476172576e-12,5.4919101025191e-13,N3,7011
3.0914651751663994e-10,1.0566778853954215e-11,5.609395309067894e-12,3.41752599724513e-12,N2,7011
9.707808392696683e-12,2.7161008957538204e-12,1.9148537712168287e-12,4.374509374598167e-13,N1,7011
2.957699994172799e-11,6.386537020221769e-12,2.5013293483742943e-12,4.702332459564681e-13,N2,7011
2.0617509413429903e-10,5.035409491072022e-12,3.444575484987892e-12,1.068844180212353e-12,N1,7011
7.531722457649308e-10,9.77748307731691e-12,3.5479275225672113e-12,1.3304641228004122e-12,N2,7011
3.3050002225232356e-11,2.179956686585238e-12,1.6682610714361588e-12,4.4725038226600994e-13,N1,7011
8.794026826741781e-11,1.0780661499647541e-11,2.6216635007397733e-12,8.932218223635898e-13,N2,7011
9.637786251898093e-10,3.4943589247135195e-12,2.168994378009057e-12,1.1821889405048146e-12,N1,7011
3.544602721182039e-11,7.778445898285297e-12,1.3800995710877688e-12,6.361527188701307e-13,N2,7011
1.1841101619803606e-10,5.6065535567878585e-12,1.858547359585693e-12,4.36529433263142e-13,N3,7011
5.322545419167982e-11,5.778274381973391e-12,2.1975140159096388e-12,4.439470950524023e-13,N2,7011
1.580459722781034e-10,7.849099041666578e-12,1.7053026822526656e-12,3.7358194109285603e-13,N3,7011
1.4654915600740883e-10,7.2581093565452735e-12,2.233822256412431e-12,3.8592033072781056e-13,N2,7011
1.1420347320373107e-10,7.851694272599443e-12,2.5310213363850848e-12,7.369520074589507e-13,N3,7011
9.84168927497984e-11,7.130205659635654e-12,1.6446105368699502e-12,6.232309578542476e-13,N2,7011
1.0277313317073148e-10,6.3177746049621905e-12,2.3584558243833797e-12,4.761401823282047e-13,N3,7011
6.434347328475101e-10,3.012844969230267e-11,9.753894668521131e-12,2.6371410276333505e-12,N2,7011
1.1888110061478268e-09,2.8917527523616478e-11,1.1940898971831366e-11,7.761797412919217e-12,Wake,7011
4.895780921052279e-12,1.1008292464229845e-12,1.2676443007825802e-12,4.946102867770358e-13,N1,7011
1.026155593055622e-11,3.875737583989558e-12,1.4767590998460743e-12,6.90680566196875e-13,N2,7011
1.0949858786007751e-11,5.340082942739211e-12,2.8765728293579273e-12,6.202582906478311e-13,N1,7011
2.990900750526945e-11,3.682701156953065e-12,1.5358439479182153e-12,4.703400448926652e-13,N2,7011
8.224604534439434e-12,8.211703962917654e-13,1.1319590241465804e-12,2.9215666231183987e-13,N1,7011
3.5058145712580905e-11,4.37767400301987e-12,1.7489582226314827e-12,5.864488650109305e-13,N2,7011
1.7406491836844292e-09,2.784016240412656e-11,9.501467039790206e-12,4.914787476031854e-12,Wake,7011
1.516607991936016e-09,1.339673083404562e-09,8.697581022560634e-10,1.4427114085447387e-10,Wake,7012
4.082124779347377e-12,1.129364943617228e-12,6.373673890525474e-13,5.721755867126413e-13,N1,7012
2.791029872996079e-11,1.3873688195152647e-12,1.0171269938916363e-12,6.783689373022114e-13,N2,7012
6.246831567439328e-12,8.07824622997378e-13,4.670239650938595e-13,4.369201036139828e-13,N1,7012
1.3476562889311534e-11,1.8818595396629343e-12,1.245337367350223e-12,1.2294187587836345e-12,N2,7012
9.69975117560122e-11,6.106349471810599e-12,3.4709444808085066e-12,6.951846233882452e-13,N3,7012
5.386293822891362e-11,4.679600453252619e-12,2.3102413813400095e-12,1.7831371337395216e-12,N2,7012
1.2927197637208697e-10,5.550859149258235e-12,2.832106753738635e-12,5.170014719454807e-13,N3,7012
3.909275235980491e-11,2.695597487339104e-12,2.264748171466606e-12,7.21361954289881e-13,N2,7012
1.021919042288898e-10,3.48753684707846e-12,3.050402315156486e-12,1.500257984334289e-12,N3,7012
9.39866456160732e-11,8.031881778665667e-12,3.584578179357697e-12,6.62444659785452e-13,N2,7012
1.6684517319086864e-10,7.476813177311362e-12,3.152403149989879e-12,5.836897635699969e-13,N3,7012
6.221416094009226e-11,4.927654073230795e-12,2.9910775796957598e-12,7.635101881947358e-13,N2,7012
1.2006653554744287e-10,5.862055619362744e-12,3.820038579421054e-12,8.491406727007366e-13,N3,7012
4.051792570564068e-11,4.986013654108685e-12,2.169961452675936e-12,5.033489184709947e-13,N2,7012
1.1248638098004773e-10,6.686135397862036e-12,4.403508831160478e-12,5.658778710810725e-13,N3,7012
5.767374650364576e-11,7.707734677739639e-12,3.6007705415427307e-12,5.285432668227245e-13,N2,7012
1.3913035296183283e-10,8.365384850365405e-12,3.363931316319886e-12,6.93251848377712e-13,N3,7012
7.367705568307888e-11,7.327848190115186e-12,3.299119302868415e-12,5.946801308722211e-13,N2,7012
8.424773173908961e-11,6.23084824431879e-12,3.827029789374949e-12,6.20114880300311e-13,N3,7012
1.1006611372108232e-10,7.210789993205437e-12,2.9610638852534414e-12,5.287150032823759e-13,N2,7012
7.864922928617022e-11,6.637163703116542e-12,3.3040510287979647e-12,4.600918875366702e-13,N3,7012
8.710525972091735e-11,4.583348527508172e-12,2.0731940294146398e-12,3.814566798496823e-13,N2,7012
1.0217626501184551e-10,2.7776546171210383e-12,4.117663476739742e-12,1.960818813316757e-12,Wake,7012
4.2948402776309445e-12,1.56158857041496e-12,1.206945624438378e-12,9.279883546743716e-13,N1,7012
4.4248957936386446e-11,1.6103126487777806e-12,1.2989439056546846e-12,8.005223289992673e-13,N2,7012
3.611381439519894e-11,9.374130949635185e-13,1.3091846456339282e-12,6.808214895621527e-13,N1,7012
4.481850640190579e-11,3.876461576105046e-12,1.5659634840493417e-12,8.975128160125437e-13,N2,7012
1.057164672353792e-11,1.4324795907604678e-12,1.7090547055519286e-12,9.291749175763694e-13,N1,7012
7.101485862243412e-11,1.6864379722074103e-12,1.6749367280629988e-12,8.116756463362405e-13,N2,7012
1.0637297027666563e-11,1.8429206813486293e-12,2.2547501546223397e-12,9.564863922061078e-13,REM,7012
3.21645163226927e-11,2.6942104368045785e-12,2.9506535353855177e-12,8.467094196055665e-13,N2,7012
3.9662920000127135e-12,1.177711843137391e-12,2.1746916943136423e-12,1.0879103532146742e-12,N1,7012
1.9433576100747332e-10,9.73747267187707e-12,4.8721624328763155e-12,6.511092268220374e-12,Wake,7012
6.93448917051748e-12,1.7821611948664776e-12,1.3427455818585006e-12,1.0112293140514798e-12,N1,7012
2.984167070633844e-11,1.964665466381412e-12,8.280848353907554e-13,9.769106048400905e-13,N2,7012
8.866245432984796e-11,6.424332811334481e-12,4.75961358693428e-12,8.272176048063288e-13,N3,7012
4.4181920307158915e-11,3.228173543847695e-12,2.478531695277732e-12,6.844542691213874e-13,N2,7012
7.937369529270587e-11,3.920154530271657e-12,2.1569466533388395e-12,5.737026724673202e-13,N3,7012
